"Notes"	"Year"	"Year Code"	"State"	"State Code"	Deaths	Population	Crude Rate
	"2002"	"2002"	"Oklahoma"	"40"	282	3489080	8.1
	"2002"	"2002"	"Oregon"	"41"	406	3513424	11.6
	"2002"	"2002"	"Pennsylvania"	"42"	1179	12331031	9.6
	"2002"	"2002"	"Rhode Island"	"44"	115	1065995	10.8
	"2002"	"2002"	"South Carolina"	"45"	239	4107795	5.8
	"2002"	"2002"	"South Dakota"	"46"	23	760020	3.0
	"2002"	"2002"	"Tennessee"	"47"	553	5795918	9.5
	"2002"	"2002"	"Texas"	"48"	1814	21690325	8.4
	"2002"	"2002"	"Utah"	"49"	311	2324815	13.4
	"2002"	"2002"	"Vermont"	"50"	58	615442	9.4
	"2002"	"2002"	"Virginia"	"51"	549	7286873	7.5
	"2002"	"2002"	"Washington"	"53"	712	6052349	11.8
	"2002"	"2002"	"West Virginia"	"54"	249	1805414	13.8
	"2002"	"2002"	"Wisconsin"	"55"	361	5445162	6.6
	"2002"	"2002"	"Wyoming"	"56"	37	500017	7.4
"Total"	"2002"	"2002"			26490	287625193	9.2
	"2003"	"2003"	"Alabama"	"01"	235	4503491	5.2
	"2003"	"2003"	"Alaska"	"02"	89	648414	13.7
	"2003"	"2003"	"Arizona"	"04"	720	5510364	13.1
	"2003"	"2003"	"Arkansas"	"05"	216	2724816	7.9
	"2003"	"2003"	"California"	"06"	3871	35253159	11.0
	"2003"	"2003"	"Colorado"	"08"	572	4528732	12.6
	"2003"	"2003"	"Connecticut"	"09"	318	3484336	9.1
	"2003"	"2003"	"Delaware"	"10"	101	818003	12.3
	"2003"	"2003"	"District of Columbia"	"11"	111	568502	19.5
	"2003"	"2003"	"Florida"	"12"	2237	17004085	13.2
	"2003"	"2003"	"Georgia"	"13"	669	8622793	7.8
	"2003"	"2003"	"Hawaii"	"15"	102	1251154	8.2
	"2003"	"2003"	"Idaho"	"16"	108	1363380	7.9
	"2003"	"2003"	"Illinois"	"17"	1007	12556006	8.0
	"2003"	"2003"	"Indiana"	"18"	482	6196638	7.8
	"2003"	"2003"	"Iowa"	"19"	115	2941999	3.9
	"2003"	"2003"	"Kansas"	"20"	205	2723004	7.5
	"2003"	"2003"	"Kentucky"	"21"	600	4117170	14.6
	"2003"	"2003"	"Louisiana"	"22"	591	4521042	13.1
	"2003"	"2003"	"Maine"	"23"	146	1306513	11.2
	"2003"	"2003"	"Maryland"	"24"	812	5496269	14.8
	"2003"	"2003"	"Massachusetts"	"25"	849	6422565	13.2
	"2003"	"2003"	"Michigan"	"26"	896	10041152	8.9
	"2003"	"2003"	"Minnesota"	"27"	287	5053572	5.7
	"2003"	"2003"	"Mississippi"	"28"	227	2868312	7.9
	"2003"	"2003"	"Missouri"	"29"	578	5709403	10.1
	"2003"	"2003"	"Montana"	"30"	103	919630	11.2
	"2003"	"2003"	"Nebraska"	"31"	59	1738643	3.4
	"2003"	"2003"	"Nevada"	"32"	450	2248850	20.0
	"2003"	"2003"	"New Hampshire"	"33"	138	1279840	10.8
